hand_side,orientation,index_angle,middle_angle,ring_angle,thumb_index_distance,ball_thumb_distance,ball_index_distance,ball_middle_distance,ball_ring_distance,wrist_angle,wrist_rotation_angle,thumb_angle,index_curl,middle_curl,ring_curl,pinky_curl,index_middle_distance,middle_ring_distance,ring_pinky_distance,ball_index_mcp_distance,ball_middle_mcp_distance,ball_ring_mcp_distance,ball_coverage_ratio,label
RIGHT,BACK,124.14,133.94,54.82,0.615,0.1462,0.4764,0.3913,0.6988,86.19,-78.94,165.89,124.14,133.94,54.82,43.01,0.2227,1.0789,0.1774,0.6574,0.6351,0.653,0.4338,seam_grip
RIGHT,BACK,123.65,140.33,58.41,0.5779,0.1503,0.7054,0.6354,0.4698,86.99,-79.47,164.03,123.65,140.33,58.41,47.7,0.219,1.0935,0.1766,0.586,0.5043,0.446,0.6704,seam_grip
RIGHT,BACK,141.0,154.84,77.48,0.5969,0.0496,0.5505,0.4176,0.6646,86.65,-78.06,171.62,141.0,154.84,77.48,39.9,0.3264,1.022,0.2532,0.8308,0.8324,0.8853,0.484,seam_grip
RIGHT,BACK,141.79,152.32,46.91,0.5276,0.1547,0.5084,0.4466,0.7817,83.82,-75.35,176.57,141.79,152.32,46.91,21.58,0.307,1.0985,0.1882,0.6932,0.7218,0.8389,0.4775,seam_grip
RIGHT,BACK,135.63,146.63,8.73,0.5847,0.1594,0.5,0.3079,0.6551,77.36,-70.05,168.29,135.63,146.63,8.73,0.9,0.3288,0.9507,0.299,0.7794,0.7371,0.8272,0.4039,seam_grip
RIGHT,BACK,142.46,149.44,0.41,0.7369,0.2683,0.4957,0.2578,0.6233,72.76,-66.22,159.86,142.46,149.44,0.41,10.41,0.3386,0.8625,0.2702,0.6669,0.6208,0.7504,0.3768,seam_grip
RIGHT,BACK,117.7,130.85,2.22,0.4992,0.2242,0.3015,0.292,0.8116,76.33,-68.93,176.69,117.7,130.85,2.22,14.09,0.2889,0.9267,0.2469,0.6808,0.7146,0.9024,0.2968,seam_grip
RIGHT,BACK,77.67,67.27,4.98,0.5262,0.2273,0.3144,0.3154,0.5028,75.39,-70.0,150.19,77.67,67.27,4.98,22.56,0.2796,0.6776,0.1982,0.3588,0.3445,0.5357,0.3149,seam_grip
RIGHT,BACK,140.37,150.3,5.33,0.5226,0.044,0.5046,0.4324,0.6617,86.85,-78.81,174.72,140.37,150.3,5.33,12.21,0.3144,1.019,0.2639,0.7099,0.7331,0.8695,0.4685,seam_grip
RIGHT,BACK,141.48,148.24,14.36,0.5475,0.0515,0.5162,0.4201,0.7298,88.31,-82.93,173.47,141.48,148.24,14.36,17.6,0.3633,1.0419,0.207,0.7967,0.8408,0.9679,0.4681,seam_grip
RIGHT,BACK,139.11,148.61,0.85,0.4957,0.0018,0.4975,0.3729,0.653,87.93,-79.86,176.02,139.11,148.61,0.85,18.31,0.3272,0.9831,0.3006,0.8203,0.8385,0.9684,0.4352,seam_grip
RIGHT,BACK,141.05,141.11,2.3,0.5839,0.1635,0.5861,0.2517,0.6022,83.98,-76.5,174.09,141.05,141.11,2.3,17.79,0.3896,0.8532,0.2815,0.8735,0.8325,0.9219,0.4189,seam_grip
RIGHT,BACK,131.29,82.44,2.93,0.6875,0.3547,0.3947,0.1489,0.7152,79.1,-72.48,169.53,131.29,82.44,2.93,10.6,0.4134,0.7677,0.2519,0.6909,0.6612,0.806,0.2718,seam_grip
RIGHT,BACK,102.04,22.55,4.94,0.6,0.3456,0.2719,0.1874,0.6763,77.76,-71.6,162.24,102.04,22.55,4.94,10.55,0.4246,0.5517,0.2407,0.5278,0.513,0.6963,0.2296,seam_grip
RIGHT,BACK,143.65,172.42,11.39,0.7157,0.1004,0.6852,0.5799,0.5344,78.53,-71.88,165.67,143.65,172.42,11.39,23.08,0.3398,0.9187,0.2863,0.3395,0.3945,0.6591,0.6326,seam_grip
RIGHT,BACK,152.75,175.4,29.31,0.7442,0.1249,0.6708,0.595,0.5168,80.97,-74.22,170.38,152.75,175.4,29.31,30.07,0.3552,1.0558,0.3791,0.6985,0.7519,0.9382,0.6329,seam_grip
RIGHT,BACK,153.19,173.85,37.2,0.7173,0.1617,0.6092,0.5117,0.5839,82.18,-74.94,171.36,153.19,173.85,37.2,33.72,0.3686,1.0351,0.4197,0.8619,0.9506,1.1415,0.5605,seam_grip
RIGHT,BACK,156.68,175.07,21.35,0.9071,0.2904,0.6182,0.4795,0.7451,79.06,-72.3,166.04,156.68,175.07,21.35,27.72,0.4137,1.0648,0.3251,0.7779,0.8889,1.1207,0.5489,seam_grip
RIGHT,BACK,159.47,174.25,18.47,0.9957,0.3356,0.6855,0.5387,0.7653,78.63,-71.91,165.05,159.47,174.25,18.47,26.09,0.4465,1.0837,0.3075,0.6717,0.7993,1.0548,0.6121,seam_grip
RIGHT,BACK,128.33,139.8,45.83,0.5592,0.1204,0.4628,0.3774,0.7166,89.6,-81.92,169.65,128.33,139.8,45.83,36.35,0.2407,1.0858,0.2027,0.6917,0.6408,0.6602,0.4201,seam_grip
RIGHT,BACK,130.2,139.9,46.46,0.5673,0.0823,0.5003,0.3962,0.6959,89.61,-82.75,170.0,130.2,139.9,46.46,37.76,0.2569,1.0816,0.2061,0.6707,0.6213,0.6406,0.4482,seam_grip
RIGHT,BACK,174.46,151.87,31.42,0.6127,0.1411,0.4881,0.3877,0.61,78.74,-73.51,166.46,174.46,151.87,31.42,39.48,0.2897,0.8879,0.3203,0.5515,0.6547,0.8748,0.4379,seam_grip
RIGHT,BACK,154.11,173.74,25.39,0.864,0.4668,0.4097,0.3457,0.6749,78.76,-73.66,153.41,154.11,173.74,25.39,36.92,0.3099,0.8478,0.2759,0.5643,0.6497,0.8548,0.3777,seam_grip
RIGHT,BACK,145.04,163.34,61.67,0.6092,0.0951,0.5349,0.4868,0.3263,85.21,-77.51,176.35,145.04,163.34,61.67,48.19,0.3247,0.7449,0.4682,0.746,0.7879,0.9354,0.5109,seam_grip
RIGHT,BACK,132.67,141.01,65.45,0.5427,0.0659,0.6061,0.4582,0.6664,83.74,-87.89,178.9,132.67,141.01,65.45,124.0,0.3264,1.1041,0.1882,0.7714,0.7631,0.7776,0.5322,seam_grip
RIGHT,BACK,137.67,144.57,2.39,0.5344,0.0499,0.4852,0.3205,0.6472,77.88,-70.81,178.22,137.67,144.57,2.39,8.39,0.3269,0.9167,0.2763,0.6301,0.6123,0.752,0.4029,seam_grip
RIGHT,BACK,137.44,140.42,12.28,0.4833,0.1389,0.5311,0.4219,0.6445,80.82,-73.39,179.86,137.44,140.42,12.28,1.64,0.3324,0.9539,0.2597,0.538,0.5293,0.6798,0.4765,seam_grip
RIGHT,BACK,137.43,143.68,15.65,0.4564,0.2118,0.6233,0.5157,0.5924,83.3,-75.45,179.03,137.43,143.68,15.65,2.39,0.3463,1.0177,0.2489,0.5449,0.5096,0.6342,0.5695,seam_grip
RIGHT,BACK,125.66,122.43,21.8,0.5195,0.1319,0.3882,0.2617,0.7402,80.31,-73.08,175.84,125.66,122.43,21.8,9.92,0.317,0.9273,0.2423,0.6974,0.6524,0.7508,0.325,seam_grip
RIGHT,BACK,120.86,111.18,30.48,0.5399,0.1649,0.5061,0.2472,0.6449,78.1,-71.4,170.86,120.86,111.18,30.48,23.24,0.3246,0.892,0.2319,0.7246,0.6053,0.6265,0.3767,seam_grip
RIGHT,BACK,108.35,91.77,23.51,0.4905,0.3337,0.1588,0.2112,0.8669,75.95,-69.48,179.12,108.35,91.77,23.51,10.99,0.2726,0.8373,0.2383,0.6694,0.6544,0.8016,0.185,seam_grip
RIGHT,BACK,111.95,93.19,29.14,0.5439,0.355,0.2103,0.1446,0.8643,79.2,-72.42,173.4,111.95,93.19,29.14,18.88,0.2901,0.8798,0.2178,0.751,0.6842,0.7825,0.1775,seam_grip
RIGHT,BACK,96.94,90.32,41.38,0.4598,0.0772,0.4017,0.3412,0.6205,82.89,-76.05,173.98,96.94,90.32,41.38,39.0,0.2598,0.885,0.1876,0.5188,0.3843,0.4247,0.3714,seam_grip
RIGHT,BACK,85.28,86.56,46.69,0.3481,0.0428,0.3267,0.2766,0.6187,83.67,-76.86,177.69,85.28,86.56,46.69,39.2,0.2658,0.8122,0.1695,0.5501,0.4261,0.4481,0.3017,seam_grip
RIGHT,BACK,101.53,98.23,41.59,0.4242,0.0872,0.4929,0.4097,0.5297,82.31,-75.42,179.02,101.53,98.23,41.59,33.53,0.2795,0.8673,0.1851,0.486,0.3403,0.3581,0.4513,seam_grip
RIGHT,BACK,119.45,126.53,40.25,0.4631,0.5047,0.2919,0.475,1.0511,86.53,-79.53,177.9,119.45,126.53,40.25,32.32,0.2235,0.9649,0.1931,0.6619,0.7186,0.8754,0.3835,seam_grip
RIGHT,BACK,115.56,128.9,64.79,0.5373,0.2064,0.6692,0.5784,0.4354,88.9,-84.4,160.95,115.56,128.9,64.79,69.14,0.2396,1.0138,0.2012,0.6889,0.5757,0.4624,0.6238,seam_grip
RIGHT,BACK,4.84,8.72,27.23,0.2703,0.1502,0.1206,0.1386,0.3873,74.25,-69.55,148.79,4.84,8.72,27.23,37.73,0.2036,0.3802,0.2453,0.1982,0.2868,0.5167,0.1296,seam_grip
RIGHT,BACK,6.47,5.59,24.67,0.2819,0.1785,0.1036,0.1376,0.384,74.8,-70.07,144.65,6.47,5.59,24.67,37.12,0.2092,0.3353,0.2433,0.1936,0.2817,0.5136,0.1206,seam_grip
RIGHT,BACK,16.15,2.08,12.47,0.3159,0.2173,0.0986,0.1125,0.4379,74.46,-69.05,142.35,16.15,2.08,12.47,27.05,0.2026,0.3747,0.2217,0.2278,0.2444,0.4694,0.1055,seam_grip
RIGHT,BACK,42.18,27.94,13.39,0.3895,0.2136,0.224,0.0979,0.5079,73.64,-67.67,150.09,42.18,27.94,13.39,4.33,0.2203,0.5869,0.2069,0.3999,0.2936,0.4235,0.161,seam_grip
RIGHT,BACK,67.11,48.28,35.77,0.4254,0.2326,0.2385,0.1355,0.5893,73.69,-67.22,164.26,67.11,48.28,35.77,14.06,0.2398,0.6833,0.1918,0.462,0.3418,0.4409,0.187,seam_grip
RIGHT,BACK,104.87,95.83,41.99,0.4493,0.141,0.3336,0.243,0.6103,75.2,-68.46,171.45,104.87,95.83,41.99,21.48,0.2216,0.83,0.1876,0.5377,0.417,0.4785,0.2883,seam_grip
RIGHT,BACK,128.81,139.83,48.99,0.6011,0.2289,0.4161,0.3359,0.6929,79.76,-72.7,162.33,128.81,139.83,48.99,29.41,0.2256,1.0078,0.1643,0.6253,0.5575,0.6157,0.376,seam_grip
RIGHT,BACK,131.4,147.05,55.52,0.6552,0.2126,0.5521,0.4543,0.617,83.45,-76.37,162.38,131.4,147.05,55.52,33.35,0.2305,1.0698,0.1653,0.6876,0.6262,0.6319,0.5032,seam_grip
RIGHT,BACK,105.78,113.13,31.93,0.4304,0.1238,0.3074,0.2927,0.6198,80.03,-73.28,170.13,105.78,113.13,31.93,12.08,0.1986,0.8453,0.1837,0.4931,0.4269,0.5261,0.3,seam_grip
RIGHT,BACK,125.76,134.68,62.74,0.5369,0.0427,0.5754,0.459,0.5392,84.06,-77.53,172.58,125.76,134.68,62.74,44.23,0.2357,0.998,0.139,0.6621,0.6171,0.5859,0.5172,seam_grip
RIGHT,BACK,125.93,131.1,72.46,0.4567,0.1481,0.477,0.4056,0.5941,87.63,-81.99,177.18,125.93,131.1,72.46,54.29,0.1367,0.9809,0.1051,0.5185,0.5556,0.6053,0.4413,seam_grip
RIGHT,BACK,74.07,12.49,6.59,0.5026,0.2434,0.2658,0.1279,0.5195,84.6,-79.02,143.03,74.07,12.49,6.59,10.53,0.3032,0.496,0.1943,0.3061,0.2638,0.4467,0.1969,seam_grip
RIGHT,BACK,101.89,4.12,16.25,0.4795,0.1825,0.319,0.1506,0.4113,88.61,-83.74,140.93,101.89,4.12,16.25,45.59,0.3234,0.4198,0.1927,0.2165,0.2047,0.4038,0.2348,seam_grip
RIGHT,BACK,17.09,5.34,15.97,0.2764,0.2785,0.1139,0.2425,0.4603,88.9,-83.9,144.51,17.09,5.34,15.97,52.34,0.2048,0.3287,0.1876,0.1172,0.2368,0.4627,0.1782,seam_grip
RIGHT,BACK,173.58,146.92,36.03,0.6437,0.1287,0.6699,0.3654,0.3655,89.17,-84.82,169.33,173.58,146.92,36.03,52.85,0.404,0.6291,0.1894,0.3388,0.3861,0.5855,0.5177,seam_grip
RIGHT,BACK,172.7,171.1,33.12,0.6577,0.0567,0.6338,0.5465,0.4628,89.32,-86.1,164.31,172.7,171.1,33.12,49.81,0.2763,0.8125,0.2151,0.3084,0.4058,0.6143,0.5902,seam_grip
RIGHT,BACK,113.2,178.72,25.7,0.4182,0.123,0.2982,0.4468,0.4129,86.55,-88.64,157.1,113.2,178.72,25.7,39.27,0.2789,0.7925,0.2421,0.3608,0.3412,0.5121,0.3725,seam_grip
RIGHT,BACK,23.74,7.42,2.93,0.2922,0.2051,0.0901,0.1416,0.4894,84.99,-90.11,162.87,23.74,7.42,2.93,26.59,0.2053,0.4794,0.19,0.2918,0.223,0.4146,0.1158,seam_grip
RIGHT,BACK,31.4,11.36,6.49,0.321,0.2832,0.0462,0.1621,0.5491,84.0,-90.99,164.07,31.4,11.36,6.49,13.0,0.2044,0.4715,0.187,0.3396,0.2615,0.4388,0.1041,seam_grip
RIGHT,BACK,16.47,0.3,18.38,0.3183,0.2397,0.0914,0.119,0.4339,88.58,-86.84,149.22,16.47,0.3,18.38,44.98,0.2102,0.3453,0.2095,0.3323,0.3109,0.4882,0.1052,seam_grip
RIGHT,BACK,25.76,8.13,4.94,0.2938,0.2769,0.0449,0.2224,0.5675,85.6,-89.24,162.23,25.76,8.13,4.94,27.77,0.2012,0.489,0.1863,0.2912,0.313,0.5211,0.1337,seam_grip
RIGHT,BACK,19.14,7.02,12.73,0.306,0.2074,0.1046,0.1243,0.4441,87.39,-87.7,151.48,19.14,7.02,12.73,39.15,0.2273,0.3699,0.1958,0.3062,0.2598,0.4422,0.1144,seam_grip
RIGHT,BACK,15.82,4.79,14.22,0.2804,0.1981,0.0908,0.1209,0.4235,87.32,-87.81,152.1,15.82,4.79,14.22,39.57,0.2115,0.3505,0.2027,0.2949,0.2608,0.4479,0.1059,seam_grip
RIGHT,BACK,90.52,11.86,0.98,0.4945,0.2761,0.2209,0.1988,0.6138,87.3,-86.3,158.4,90.52,11.86,0.98,32.4,0.4122,0.4288,0.1053,0.5713,0.5855,0.7474,0.2098,seam_grip
RIGHT,BACK,58.57,10.88,0.57,0.4126,0.2549,0.1748,0.2064,0.59,87.41,-86.37,159.72,58.57,10.88,0.57,22.99,0.364,0.4031,0.1238,0.5123,0.5333,0.704,0.1906,seam_grip
RIGHT,BACK,152.0,0.1,25.31,0.6171,0.2474,0.3871,0.1247,0.4416,87.32,-86.35,163.41,152.0,0.1,25.31,49.15,0.462,0.3252,0.2803,0.5881,0.6045,0.7636,0.2559,seam_grip
RIGHT,BACK,92.5,6.46,8.77,0.4824,0.2847,0.1989,0.1838,0.5239,87.63,-86.2,160.51,92.5,6.46,8.77,30.69,0.3786,0.3432,0.2295,0.6045,0.6205,0.7826,0.1913,seam_grip
RIGHT,BACK,174.7,116.77,93.84,0.7104,0.0971,0.6468,0.2788,0.3333,89.06,-84.01,166.21,174.7,116.77,93.84,55.69,0.4621,0.3594,0.3516,0.5211,0.5576,0.739,0.4628,seam_grip
RIGHT,BACK,173.8,121.23,35.15,0.7255,0.0826,0.6471,0.2949,0.4035,89.51,-84.32,159.91,173.8,121.23,35.15,38.81,0.4563,0.5899,0.2726,0.5102,0.5507,0.7359,0.471,seam_grip
RIGHT,BACK,174.49,106.8,35.84,0.7902,0.1671,0.6263,0.1934,0.4823,89.3,-84.2,159.99,174.49,106.8,35.84,39.88,0.5184,0.5899,0.2808,0.6086,0.6532,0.8327,0.4099,seam_grip
RIGHT,BACK,173.36,90.42,35.36,0.7689,0.2064,0.567,0.1595,0.4947,89.18,-84.09,159.19,173.36,90.42,35.36,39.37,0.5023,0.5639,0.2789,0.6136,0.6546,0.8316,0.3632,seam_grip
RIGHT,BACK,174.67,98.73,42.44,0.8484,0.1774,0.6739,0.1847,0.3872,89.0,-84.22,159.35,174.67,98.73,42.44,44.27,0.5584,0.4926,0.3084,0.5685,0.5991,0.7719,0.4293,seam_grip
RIGHT,BACK,174.88,96.56,40.13,0.8343,0.1876,0.6502,0.1905,0.4049,89.1,-84.27,160.02,174.88,96.56,40.13,43.08,0.534,0.5198,0.2929,0.5575,0.5868,0.7595,0.4203,seam_grip
RIGHT,BACK,176.22,58.48,32.26,0.7782,0.0883,0.6901,0.2042,0.4618,89.91,-84.89,161.86,176.22,58.48,32.26,37.59,0.5879,0.5469,0.2608,0.5277,0.582,0.7738,0.4472,seam_grip
RIGHT,BACK,175.12,17.45,25.03,0.6448,0.0647,0.5841,0.177,0.3778,87.48,-87.58,156.88,175.12,17.45,25.03,39.87,0.4836,0.4754,0.1976,0.3736,0.3723,0.5534,0.3806,seam_grip
RIGHT,BACK,117.28,11.08,0.17,0.5232,0.2013,0.3803,0.0459,0.4656,86.77,-86.99,150.04,117.28,11.08,0.17,173.74,0.3979,0.4323,0.3751,0.5073,0.4017,0.4905,0.2131,seam_grip
RIGHT,BACK,74.6,17.65,12.7,0.4567,0.2135,0.2957,0.1022,0.5599,86.41,-87.22,153.64,74.6,17.65,12.7,3.59,0.3763,0.4593,0.1492,0.5196,0.4054,0.4812,0.199,seam_grip
RIGHT,BACK,94.87,28.7,27.4,0.4535,0.1768,0.3236,0.0651,0.5949,85.98,-87.43,160.66,94.87,28.7,27.4,15.01,0.3849,0.5301,0.1753,0.5504,0.419,0.4642,0.1943,seam_grip
RIGHT,BACK,161.41,65.87,37.59,0.6256,0.0864,0.5503,0.141,0.5847,84.23,-89.15,168.01,161.41,65.87,37.59,28.05,0.5042,0.6786,0.1813,0.545,0.4307,0.4581,0.3457,seam_grip
RIGHT,BACK,119.39,79.98,43.5,0.3785,0.0297,0.3489,0.2088,0.5515,84.23,-89.39,167.5,119.39,79.98,43.5,37.78,0.2551,0.7293,0.1771,0.5277,0.3961,0.3883,0.2789,seam_grip
RIGHT,BACK,117.15,105.15,44.22,0.3457,0.0761,0.2736,0.2227,0.5943,84.38,-89.04,165.92,117.15,105.15,44.22,36.66,0.174,0.7817,0.1689,0.5489,0.439,0.4423,0.2481,seam_grip
RIGHT,BACK,110.38,116.14,48.15,0.3418,0.1289,0.2246,0.239,0.6162,84.44,-89.21,164.62,110.38,116.14,48.15,40.98,0.1817,0.8226,0.1687,0.5469,0.439,0.444,0.2318,seam_grip
RIGHT,BACK,104.95,118.52,48.68,0.3048,0.1197,0.2058,0.2469,0.6132,84.79,-88.81,165.71,104.95,118.52,48.68,40.03,0.2082,0.8292,0.1662,0.5605,0.4498,0.4517,0.2263,seam_grip
RIGHT,BACK,111.39,126.51,50.07,0.2842,0.0536,0.2336,0.273,0.5987,84.86,-88.69,168.32,111.39,126.51,50.07,42.01,0.198,0.8481,0.1624,0.568,0.4538,0.4424,0.2533,seam_grip
RIGHT,BACK,122.53,134.73,52.33,0.2919,0.0735,0.2459,0.2968,0.614,84.53,-89.07,169.63,122.53,134.73,52.33,46.79,0.1712,0.8756,0.1539,0.5483,0.4458,0.4381,0.2714,seam_grip
RIGHT,BACK,119.27,132.24,54.03,0.2916,0.089,0.2485,0.3139,0.6228,84.21,-89.46,170.07,119.27,132.24,54.03,51.52,0.1819,0.8872,0.1537,0.5257,0.4246,0.4181,0.2812,seam_grip
RIGHT,BACK,50.49,24.55,26.96,0.2749,0.2025,0.1536,0.0471,0.4986,88.34,-85.89,152.94,50.49,24.55,26.96,12.72,0.1962,0.454,0.1622,0.4726,0.3035,0.3423,0.1004,seam_grip
RIGHT,BACK,33.23,16.51,19.64,0.2353,0.174,0.1433,0.1014,0.515,88.75,-85.32,152.47,33.23,16.51,19.64,4.25,0.1889,0.4144,0.1581,0.4484,0.3072,0.3741,0.1224,seam_grip
RIGHT,BACK,49.6,30.58,33.29,0.2207,0.1278,0.1299,0.0434,0.5718,83.07,-91.09,175.5,49.6,30.58,33.29,20.49,0.1715,0.5625,0.1398,0.5216,0.3665,0.3942,0.0866,seam_grip
RIGHT,BACK,46.43,30.54,34.74,0.1942,0.1224,0.1342,0.0369,0.5594,83.22,-91.12,174.35,46.43,30.54,34.74,21.92,0.1621,0.5281,0.1424,0.5325,0.3762,0.3931,0.0855,seam_grip
RIGHT,BACK,24.33,11.98,0.76,0.2295,0.102,0.1837,0.0886,0.3094,86.73,-81.36,143.49,24.33,11.98,0.76,15.12,0.2106,0.235,0.2464,0.441,0.3344,0.4384,0.1362,seam_grip
RIGHT,BACK,14.49,1.06,12.35,0.1303,0.378,0.2478,0.4269,0.6894,85.97,-80.78,151.71,14.49,1.06,12.35,30.68,0.1814,0.3077,0.2066,0.375,0.5522,0.7894,0.3373,seam_grip
RIGHT,BACK,26.29,12.11,4.34,0.1926,0.1984,0.031,0.1529,0.4722,85.07,-79.75,148.26,26.29,12.11,4.34,14.52,0.1591,0.3578,0.1647,0.291,0.2542,0.4201,0.092,seam_grip
RIGHT,BACK,29.45,14.67,10.88,0.186,0.1993,0.0207,0.1548,0.4858,84.87,-79.43,146.67,29.45,14.67,10.88,7.83,0.1525,0.3811,0.1618,0.2905,0.2385,0.401,0.0877,seam_grip
RIGHT,BACK,30.16,16.1,15.99,0.1987,0.1581,0.0581,0.1081,0.4697,84.55,-79.04,146.66,30.16,16.1,15.99,1.06,0.1656,0.3955,0.1672,0.3129,0.2165,0.3578,0.0831,seam_grip
RIGHT,BACK,33.94,12.84,7.86,0.2508,0.2136,0.0972,0.1934,0.5068,84.99,-79.41,148.02,33.94,12.84,7.86,10.15,0.1849,0.4008,0.1706,0.2489,0.2464,0.4431,0.1453,seam_grip
RIGHT,BACK,39.14,15.98,12.36,0.2823,0.2836,0.1012,0.2414,0.5953,86.06,-80.25,150.74,39.14,15.98,12.36,6.92,0.2008,0.4416,0.1642,0.2961,0.3066,0.4993,0.1713,seam_grip
RIGHT,BACK,156.76,177.13,42.35,0.7252,0.3166,0.5166,0.5694,0.7904,82.2,-74.95,168.68,156.76,177.13,42.35,43.19,0.4084,0.8494,0.3517,0.8706,1.0908,1.3709,0.543,seam_grip
RIGHT,BACK,160.8,176.65,72.89,0.7799,0.1388,0.6424,0.4991,0.4481,82.69,-75.62,168.23,160.8,176.65,72.89,68.51,0.4476,0.6737,0.3923,0.7603,0.9071,1.1531,0.5707,seam_grip
RIGHT,BACK,164.74,177.91,55.98,0.6821,0.1256,0.5662,0.4328,0.5091,82.43,-75.2,166.08,164.74,177.91,55.98,47.82,0.405,0.7577,0.3958,0.8384,0.9542,1.1825,0.4995,seam_grip
RIGHT,BACK,172.65,158.15,67.89,0.4501,0.1689,0.5524,0.5549,0.3106,75.48,-70.29,164.69,172.65,158.15,67.89,70.32,0.2438,0.7626,0.3155,0.5849,0.7014,0.9271,0.5536,seam_grip
RIGHT,BACK,157.56,171.76,19.04,0.5709,0.0934,0.4908,0.514,0.6238,87.97,-80.02,171.12,157.56,171.76,19.04,24.02,0.3156,0.9972,0.3549,0.7106,0.7946,0.9902,0.5024,seam_grip
RIGHT,BACK,152.67,169.42,14.2,0.5541,0.1202,0.4622,0.5198,0.5733,86.71,-79.52,167.51,152.67,169.42,14.2,20.68,0.2953,0.9203,0.2852,0.5518,0.6171,0.8146,0.491,seam_grip
RIGHT,BACK,155.4,171.67,18.61,0.5155,0.0488,0.4909,0.4908,0.4408,85.94,-79.18,168.1,155.4,171.67,18.61,25.55,0.2872,0.8302,0.2547,0.5267,0.5408,0.7041,0.4909,seam_grip
RIGHT,BACK,131.15,124.58,5.31,0.5536,0.4158,0.1476,0.2755,0.7961,85.32,-78.9,167.5,131.15,124.58,5.31,13.43,0.2806,0.769,0.2408,0.6904,0.7442,0.9269,0.2116,seam_grip
RIGHT,BACK,128.59,99.93,7.75,0.5095,0.2691,0.2715,0.2892,0.7551,89.33,-83.76,173.84,128.59,99.93,7.75,2.48,0.2773,0.812,0.2366,0.5886,0.608,0.7789,0.2803,seam_grip
RIGHT,BACK,78.32,23.09,6.64,0.4157,0.1032,0.323,0.1556,0.466,86.31,-80.21,158.28,78.32,23.09,6.64,2.18,0.2725,0.5736,0.2405,0.4666,0.3683,0.4898,0.2393,seam_grip
RIGHT,BACK,2.12,14.12,26.95,0.2568,0.2761,0.0851,0.1627,0.4281,78.25,-74.26,155.82,2.12,14.12,26.95,35.84,0.2478,0.42,0.2597,0.3449,0.4381,0.6608,0.1239,seam_grip
RIGHT,BACK,1.32,12.57,24.69,0.2451,0.31,0.102,0.0982,0.3523,77.55,-73.97,162.49,1.32,12.57,24.69,34.49,0.198,0.314,0.236,0.2736,0.3412,0.5594,0.1001,seam_grip
RIGHT,BACK,5.39,9.77,24.26,0.1973,0.2115,0.0655,0.1251,0.4054,73.12,-68.78,149.72,5.39,9.77,24.26,35.71,0.187,0.3216,0.2631,0.2654,0.3541,0.5928,0.0953,seam_grip
